Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP010671,Male,No,0,Graduate,Yes,2643.0,173.0,144.7,180.0,0.0,Urban,N
LP010309,Male,Yes,0,Graduate,No,4086.0,546.0,108.5,360.0,0.0,Rural,Y
LP007666,Female,Yes,0,Graduate,No,2882.0,284.0,76.0,360.0,0.0,Rural,N
LP010238,Male,Yes,3+,Graduate,No,5094.0,0.0,141.9,360.0,1.0,Semiurban,Y
LP010557,Male,Yes,0,Graduate,No,2711.0,1459.0,193.8,240.0,1.0,Urban,Y
LP007429,Male,No,0,Graduate,No,4069.0,1496.0,92.6,360.0,0.0,Semiurban,Y
LP006802,Male,No,0,Graduate,No,3651.0,43.0,180.6,360.0,1.0,Rural,Y
LP010436,Male,No,0,Graduate,No,4096.0,0.0,86.5,360.0,0.0,Semiurban,Y
LP009061,Female,No,2,Graduate,No,5686.0,2223.0,92.7,360.0,1.0,Urban,Y
LP005378,Male,No,2,Graduate,No,3845.0,1397.0,118.6,360.0,1.0,Semiurban,Y
LP005041,Female,Yes,0,Graduate,No,4151.0,2407.0,142.6,360.0,,Semiurban,N
LP004703,Female,Yes,0,Not Graduate,No,4080.0,1685.0,143.6,360.0,1.0,Semiurban,Y
LP003548,Male,No,3+,Not Graduate,No,2565.0,985.0,167.4,120.0,1.0,Semiurban,Y
LP004269,Male,Yes,0,Not Graduate,No,5596.0,1568.0,137.0,360.0,1.0,Rural,Y
LP009250,Female,No,0,Not Graduate,No,3584.0,2211.0,146.1,360.0,0.0,Semiurban,N
LP006711,Male,Yes,3+,Graduate,No,2677.0,3219.0,96.5,180.0,1.0,Semiurban,Y
LP006111,Male,No,0,Graduate,No,2725.0,721.0,160.8,360.0,1.0,Rural,Y
LP009023,Female,Yes,0,Not Graduate,No,2745.0,430.0,151.3,360.0,1.0,Rural,Y
LP008461,Male,No,0,Graduate,No,4083.0,2503.0,96.1,360.0,1.0,Semiurban,N
LP008013,Male,No,0,Graduate,No,4454.0,2062.0,43.2,360.0,1.0,Urban,Y
LP003274,Female,Yes,2,Graduate,Yes,3418.0,2470.0,115.1,360.0,1.0,Semiurban,N
LP008252,Male,No,1,Graduate,No,,1352.0,106.2,360.0,1.0,Rural,Y
LP010782,Female,No,2,Graduate,No,2063.0,0.0,118.3,360.0,1.0,Semiurban,Y
LP007652,Male,Yes,0,Graduate,No,6138.0,955.0,44.1,240.0,1.0,Semiurban,Y
LP005195,Female,Yes,0,Not Graduate,No,2792.0,755.0,158.2,240.0,1.0,Urban,Y
LP003072,Male,Yes,2,Graduate,No,4749.0,1010.0,100.4,120.0,1.0,Semiurban,Y
LP010374,Female,Yes,0,Graduate,No,4598.0,1361.0,129.6,360.0,1.0,Rural,N
LP003039,Male,No,2,Not Graduate,No,4567.0,500000.0,163.8,180.0,1.0,Semiurban,Y
LP003522,Male,Yes,1,Graduate,No,2696.0,1746.0,136.6,360.0,1.0,Urban,Y
LP008525,Male,No,2,Not Graduate,No,3571.0,2204.0,110.3,360.0,1.0,Urban,Y
LP006404,Female,No,1,Graduate,No,2747.0,1943.0,99.6,360.0,0.0,Urban,Y
LP006875,Male,Yes,2,Graduate,Yes,5761.0,1921.0,0.0,360.0,0.0,Rural,N
LP007048,Male,Yes,0,Graduate,No,3275.0,1533.0,109.5,360.0,1.0,Rural,Y
LP005792,Male,Yes,2,Graduate,No,4296.0,468.0,181.2,360.0,1.0,Urban,Y
LP008668,Male,Yes,1,Graduate,No,7488.0,2062.0,153.5,360.0,1.0,Rural,Y
LP010747,Female,Yes,0,Not Graduate,No,5507.0,2442.0,141.9,240.0,1.0,Urban,Y
LP007272,Male,Yes,1,Graduate,No,2191.0,1129.0,168.1,360.0,0.0,Semiurban,Y
LP009734,Male,Yes,2,Graduate,No,2910.0,212.0,157.3,120.0,1.0,Semiurban,Y
LP005890,Male,No,2,Graduate,No,4763.0,0.0,189.0,360.0,1.0,Urban,Y
LP004531,Male,Yes,3+,Graduate,No,5392.0,0.0,70.5,360.0,0.0,Urban,Y
LP005836,Male,Yes,0,Not Graduate,No,5383.0,0.0,155.1,360.0,1.0,Urban,Y
LP006090,Male,Yes,0,Graduate,Yes,4903.0,836.0,111.2,360.0,1.0,Semiurban,Y
LP008730,Male,No,0,Graduate,No,3190.0,0.0,44.3,360.0,1.0,Semiurban,Y
LP002401,Male,Yes,0,Graduate,No,2213.0,1125.0,,360.0,1.0,Urban,Y
LP007479,Male,Yes,2,Graduate,No,1179.0,3402.0,100.9,300.0,1.0,Semiurban,Y
LP010684,Male,Yes,0,Graduate,Yes,5364.0,121.0,139.9,360.0,1.0,Rural,Y
LP003023,Female,No,3+,Graduate,No,4673.0,766.0,105.5,360.0,1.0,Semiurban,Y
LP006908,Male,Yes,0,Not Graduate,No,1271.0,2408.0,71.6,240.0,1.0,Rural,Y
LP010090,Female,Yes,0,Not Graduate,No,4913.0,0.0,5000.0,360.0,,Semiurban,Y
LP010505,Male,Yes,0,Graduate,No,4419.0,3242.0,160.5,360.0,0.0,Semiurban,Y
LP001264,Male,Yes,3+,Not Graduate,Yes,3333.0,2166.0,130.0,360.0,,Semiurban,Y
LP009058,Male,Yes,2,Graduate,No,3860.0,436.0,137.4,180.0,1.0,Semiurban,Y
LP003195,Male,Yes,0,Graduate,No,4604.0,0.0,153.7,360.0,1.0,Rural,Y
LP004079,Female,No,1,Graduate,No,3754.0,,127.7,180.0,1.0,Urban,Y
LP005145,Female,No,1,Graduate,No,4191.0,2074.0,137.7,360.0,1.0,Rural,Y
LP009882,Female,Yes,1,Not Graduate,No,3698.0,1881.0,140.3,360.0,1.0,Urban,Y
LP007897,Male,Yes,0,Graduate,No,4182.0,1249.0,145.7,360.0,1.0,Semiurban,Y
LP007742,Male,Yes,0,Graduate,No,5104.0,2938.0,201.1,360.0,1.0,Rural,Y
LP003802,Female,No,2,Graduate,No,1805.0,0.0,46.9,360.0,1.0,Rural,Y
LP003525,Male,Yes,3+,Graduate,Yes,3887.0,2174.0,158.3,360.0,1.0,Urban,Y
LP010792,Male,No,1,Graduate,No,3476.0,0.0,119.4,360.0,1.0,Urban,Y
LP009252,Male,Yes,2,Graduate,No,3667.0,861.0,105.4,360.0,1.0,Urban,Y
LP003369,Male,Yes,0,Graduate,No,3545.0,0.0,117.7,180.0,1.0,Semiurban,Y
LP006956,Female,No,0,Graduate,No,1498.0,1308.0,108.6,360.0,1.0,Semiurban,Y
LP006296,Male,No,0,Not Graduate,No,3684.0,3080.0,182.7,180.0,1.0,Semiurban,Y
LP009133,Female,No,0,Graduate,No,3616.0,1112.0,115.5,240.0,1.0,Semiurban,N
LP004235,Male,Yes,0,Graduate,No,6215.0,1112.0,1000.0,360.0,1.0,Urban,Y
LP005051,Male,No,0,Graduate,Yes,1466.0,3107.0,138.4,240.0,1.0,Urban,N
LP007242,Male,No,0,Not Graduate,No,3242.0,1133.0,102.6,360.0,1.0,Urban,Y
LP007370,Male,No,0,Graduate,No,3293.0,1511.0,140.6,360.0,1.0,Semiurban,Y
